Date,Category,Value,Sales,Region
2024-01-01,Electronics,150.50,1250.75,North
2024-01-02,Clothing,89.25,890.00,South
2024-01-03,Books,45.80,458.50,East
2024-01-04,Electronics,200.00,2100.25,West
2024-01-05,Clothing,75.30,753.00,North
2024-01-06,Books,32.45,324.75,South
2024-01-07,Electronics,175.90,1759.00,East
2024-01-08,Clothing,95.60,956.25,West
2024-01-09,Books,28.75,287.50,North
2024-01-10,Electronics,225.40,2254.00,South
2024-01-11,Clothing,110.20,1102.75,East
2024-01-12,Books,55.90,559.25,West
2024-01-13,Electronics,180.75,1807.50,North
2024-01-14,Clothing,85.45,854.80,South
2024-01-15,Books,42.30,423.00,East
2024-01-16,Electronics,195.60,1956.25,West
2024-01-17,Clothing,92.80,928.00,North
2024-01-18,Books,38.65,386.50,South
2024-01-19,Electronics,210.25,2102.75,East
2024-01-20,Clothing,78.90,789.25,West
2024-01-21,Books,35.20,352.00,North
2024-01-22,Electronics,165.40,1654.50,South
2024-01-23,Clothing,88.75,887.50,East
2024-01-24,Books,48.90,489.00,West
2024-01-25,Electronics,190.30,1903.25,North
2024-01-26,Clothing,105.60,1056.75,South
2024-01-27,Books,29.45,294.50,East
2024-01-28,Electronics,220.80,2208.00,West
2024-01-29,Clothing,82.15,821.50,North
2024-01-30,Books,51.70,517.25,South 